'level1';'level2';'level3';'filter0';'filter1';'filter3';'Data[1]';'Data[2]';'Data[3]';'Data[9]';'Data[4]';'Data[6]';'Data[7]';'Data[8]';'Data[5]'
'ขอนแก่น';'กิ่งอำเภอโนนศิลา';'หนองปลาหมอ';'504054';'492000';'บ้านหนองปลาหมอศรีสง่า';'น้ำท่วมอาคารเรียน ภูมิทัศน์ โรงเรียน เสียหาย ';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซมอาคารเรียนแบบ ป  1 ฉงานเทพื้นถมดิน  กว้าง 27 ม. ยาว 12 ม. สูง 0.50 ม.จำนวน162ลบ.ม.ปรับปรุงซ่อมแซมภูมิทัศน์ถมดิน  กว้าง 65 ม. ยาว 80 ม. สูง 0.30 ม.จำนวน1560ลบ.ม.';'40030206';'นายประวิทย์เถาหมอ';'043212220';;;'Nongpamor @ Thai.come'
'ขอนแก่น';'แวงใหญ่';'ใหม่นาเพียง';'102450';'100000';'บ้านใหม่นาเพียง';'น้ำท่วมพื้นอาคารเรียนเสียหาย ';'1 หลัง';'ปรับปรุงซ่อมแซมอาคารเรียนแบบ สปช.102/26 งานปูกระเบื้อง ปูกระเบื้องเคลือบขนาด 12*12 จำนวน 198 ตร.ม.';'40030082';'นายนายมานิตย์คณะวาปี';'043260708';;;
'ขอนแก่น';'แวงน้อย';'ท่านางแนว';'102450';'100000';'บ้านท่านางแนว';'น้ำท่วมโรงเรียน ร่องระบายน้ำ ภูมิทัศน์ เสียหาย ';'1 แห่ง';'ปรับปรุงซ่อมแซมภูมิทัศน์ งานร่องระบายน้ำขนาด ยาว 50 ม. กว้าง จำนวน50ม. 20 ซม. สูง 20 ซม.  ถมดิน จำนวน  100 ตร.ม.   จำนวน50ลบ.ม.';'40030098';'นายประเสริฐโพธิ์ชัย';'043278131';;;
'ขอนแก่น';'แวงน้อย';'ท่านางแนว';'102450';'100000';'บ้านโนนเขวาประชาศึกษา';'น้ำท่วมโรงเรียน ถนน ภูมิทัศน์ เสียหาย ';'1 แห่ง';'ปรับปรุงซ่อมแซมภูมิทัศน์ งานถนน  ถนน ค.ส.ล. ความหนา 12 ซม. กว้าง 4 เมตร ยาว244 ตร.ม.ยาว 61 ม. เสริมเหล็กตะแรง  6 มม.';'40030099';'นายประจบปราบ ณ ศักดิ์';'043278339';;;
'ขอนแก่น';'แวงใหญ่';'โนนสะอาด';'102450';'100000';'บ้านกุดหมากเห็บ';'น้ำท่วมพื้นอาคารเรียนเสียหาย ';'1 หลัง';'ปรับปรุงซ่อมแซมอาคารเรียนแบบ ป 1 ฉ งานพื้น  ปูพื้นกระเบื้องเคลือบระเบียงหน้าอาคารขนาด 12*12 จำนวน200 ตร.ม';'40030071';'นายวิศิษฎ์บุตรวิชา';'043214073';;;
'ขอนแก่น';'แวงใหญ่';'โนนทอง';'102450';'100000';'บ้านโนนข่าวิทยา';'น้ำท่วมถนน ภูมิทัศน์โรงเรียน เสียหาย ';'1 แห่ง';'ปรับปรุงซ่อมแซมภูมิทัศน์ งานถนน  ถนน ค.ส.ล. ความหนา 12 ซม. กว้าง 5 เมตร ยาว245 ตร.ม.ยาว 49 ม. เสริมเหล็กตะแรง  6 มม';'40030065';'นายจิตจำนง ชินแสง';'043278340';;;
'ขอนแก่น';'พล';'โนนข่า';'102450';'100000';'บ้านโนนข่าวิทยา';'น้ำท่วมถนน ภูมิทัศน์โรงเรียน เสียหาย ';'1 แห่ง';'ปรับปรุงซ่อมแซมภูมิทัศน์ งานถนน  ถนน ค.ส.ล. ความหนา 12 ซม. กว้าง 5 เมตร ยาว245 ตร.ม.ยาว 49 ม. เสริมเหล็กตะแรง  6 มม';'40032005';'นาย???????????????';'043418240';;'043418240';
'ขอนแก่น';'กิ่งอำเภอโนนศิลา';'บ้านหัน';'102450';'100000';'บ้านหันศิลางาม';'น้ำท่วมโรงเรียน ภูมิทัศน์  เสียหาย ';'1 แห่ง';'ปรับปรุงซ่อมแซมภูมิทัศน์ งานพื้น ถมดินสูง 40  ซม.    จำนวน  310ลบ.ม.';'40030197';'นายรัฐพลอินทะมาตย์';'043281159';;;
'ขอนแก่น';'หนองเรือ';'โนนทอง';'102450';'100000';'บ้านโนนทองวิทยา';'น้ำท่วมโรงเรียน พื้นอาคารเรียน เสียหาย ';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซมอาคารเรียนแบบ สปช.105/29 งานพื้น เทพื้น ค.ศ.ล. ความหนา 10 ซม.325ตร.ม.กว้าง 10 ม. ยาว 32 ม. เสริมเหล็กตะแกรงสำเร็จรูป';'40050017';'นายสุดิงสาหล้า';'043425172';;;
'ขอนแก่น';'สีชมพู';'หนองแดง';'102450';'100000';'บ้านหนองแดง';'น้ำท่วม พื้นอาคารเรียน เสียหาย ';'1 หลัง';'ปรับปรุงซ่อมแซมอาคารเรียนแบบ สปช.105/29 งานปูกระเบื้อง ปูกระเบื้องเคลือบขนาด 12*12  จำนวน225ตร.ม.';'40050185';'นายบุญศรีเคนมิ่ง';;'019640307';;
'ขอนแก่น';'กิ่งอำเภอซำสูง';'บ้านโนน';'102450';'100000';'บ้านโนนใหญ่';'น้ำท่วมโรงเรียน ถนน ห้องน้ำ-ส้วม เสียหาย ';'1 หลัง';'พื้นถนนในโรงเรียนและห้องน้ำอนุบาลปูกระเบื้องเคลือบ  ขนาด 12 " x  12"จำนวน198ตร.ม.';'40040181';'นายประพฤทธิ์สิงหาบุตร';'043';'450500';;
'ขอนแก่น';'กิ่งอำเภอซำสูง';'บ้านโนน';'102450';'100000';'บ้านโนนจันทึก';'น้ำท่วมโรงเรียน อาคารอเนกประสงค์ เสียหาย ';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซมอาคารเรียนเอนกประสงค์ 312 งานเทพื้น ถมดิน  กว้าง 9 ม. ยาว 19 ม. สูง 0.3 ม. จำนวน51ลบ.ม.เทพื้น ค.ศ.ล. ความหนา 10 ซม. 20ตร.ม.กว้าง 10 ม. ยาว 20 ม. เสริมเหล็กตะแกรง สำเร็จรูป ปูกระเบื้องเคลือบ 12*12  บริเวณเคาว์เตอร์140ตร.ม. จ่ายอาหาร ทาสีน้ำพลาสติก  จำนวน 100 ตร.ม.';'40040181';'นายประพฤทธิ์สิงหาบุตร';'043';'450500';;
